;;;;;;;;Carrosserie;;;;;;;;;;;;;;;;;;;Moteur;;;;;;;;;;;;;;Transmission et contrôle;;;;Performances;;;;;;;;;Suspension et freins;;;
43745;Kia;Cerato;1 génération;2004;2006;Hatchback;1.6 MT (105 ch);Hayon;5;4340;1735;1470;2610;1495;1485;;;;;1200;160;1495;518;500;1700;;Essence;1599;105;à 5 800;143;Distribué injection;Mitoyenne;4;;76,5;87;4;à 4 500;;Mécanique;Avant;10,1;5;SP-95;186;9,1;6,8;11;de 600 à 1 000;EURO IV;55;5,5;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort;Indépendante, Double triangle, ressort
43746;Kia;Cerato;1 génération;2004;2006;Hatchback;1.6 MT (110 ch);Hayon;5;4340;1735;1470;2610;1495;1485;;;;;1165;160;1495;518;325;1490;;Essence;1599;110;à 5 800;145;Distribué injection;Mitoyenne;4;;76,5;87;4;à 4 500;;Mécanique;Avant;10,1;5;SP-95;191;8,9;6,8;11,6;de 620 à 890;;55;6,2;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort;Indépendante, Double triangle, ressort
43747;Kia;Cerato;1 génération;2004;2006;Hatchback;2.0 AT (143 ch);Hayon;5;4340;1735;1470;2610;1495;1485;;;;;1276;160;1495;518;533;1809;;Essence;1975;143;à 6 000;186;Distribué injection;Mitoyenne;4;;82;93,5;4;à 4 500;;Automatique;Avant;10,1;4;SP-95;200;11,3;8,3;10,4;de 490 à 830;EURO IV;55;6,6;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort;Indépendante, Double triangle, ressort
43749;Kia;Cerato;1 génération;2004;2006;Hatchback;2.0 CRDi MT (112 ch);Hayon;5;4340;1735;1470;2610;1495;1485;;;;;1324;160;1495;518;532;1856;;Diesel;1991;112;à 4 000;245;Common Rail;Mitoyenne;4;Turbo;83;92;4;à 1 800;Il ya;Mécanique;Avant;10,1;5;DT;190;8,2;6;11,5;de 670 à 1 200;EURO III;55;4,6;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort;Indépendante, Double triangle, ressort
43748;Kia;Cerato;1 génération;2004;2006;Hatchback;2.0 MT (143 ch);Hayon;5;4340;1735;1470;2610;1495;1485;;;;;1250;160;1495;518;533;1783;;Essence;1975;143;à 6 000;186;Distribué injection;Mitoyenne;4;;82;93,5;4;à 4 500;;Mécanique;Avant;10,1;5;SP-95;208;10,3;7,2;9;de 530 à 930;EURO IV;55;5,9;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort;Indépendante, Double triangle, ressort
181326;Kia;Cerato;1 génération [restyling];2007;2009;Berline;1.6 AT (122 ch);Berline;5;4500;1735;1470;2610;1495;1485;;;;;1214;160;381;381;;;;Essence;1591;122;à 6 200;154;Distribué injection;Mitoyenne;4;;76,5;87;4;à 4 200;;Automatique;Avant;10,1;4;SP-95;173;;;11;;;55;;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort;Indépendante, Double triangle, ressort
43738;Kia;Cerato;1 génération [restyling];2007;2009;Berline;1.6 MT (122 ch);Berline;5;4500;1735;1470;2610;1495;1485;;;;;1214;160;381;381;;;;Essence;1591;122;à 6 200;154;Distribué injection;Mitoyenne;4;;76,5;87;4;à 4 200;;Mécanique;Avant;10,1;5;SP-95;186;9,1;6,6;10,2;de 600 à 1 000;;55;5,5;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort;Indépendante, Double triangle, ressort
43736;Kia;Cerato;1 génération [restyling];2007;2009;Berline;1.6 VGT AT (115 ch);Berline;5;4500;1735;1470;2610;1495;1485;;;;;1280;160;381;381;;;;Diesel;1582;115;à 4 000;260;Common Rail;Mitoyenne;4;Turbo;;;4;à 2 000;Il ya;Automatique;Avant;10,1;4;DT;;;6,3;;;;55;;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort;Indépendante, Double triangle, ressort
181327;Kia;Cerato;1 génération [restyling];2007;2009;Berline;1.6 VGT MT (115 ch);Berline;5;4500;1735;1470;2610;1495;1485;;;;;1255;160;381;381;;;;Diesel;1582;115;à 4 000;260;Common Rail;Mitoyenne;4;Turbo;;;4;à 2 000;Il ya;Mécanique;Avant;10,1;5;DT;186;6,5;4,8;11,8;de 850 à 1 380;;55;4;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort;Indépendante, Double triangle, ressort
43739;Kia;Cerato;1 génération [restyling];2007;2009;Berline;2.0 AT (143 ch);Berline;5;4500;1735;1470;2610;1495;1485;;;;;1220;160;381;381;;;;Essence;1975;143;à 6 000;186;Distribué injection;Mitoyenne;4;;82;93,5;4;à 4 250;;Automatique;Avant;10,1;4;SP-95;200;11,2;8,8;10,4;de 490 à 860;;55;6,4;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort;Indépendante, Double triangle, ressort
43740;Kia;Cerato;1 génération [restyling];2007;2009;Berline;2.0 MT (143 ch);Berline;5;4500;1735;1470;2610;1495;1485;;;;;1220;160;381;381;;;;Essence;1975;143;à 6 000;186;Distribué injection;Mitoyenne;4;;82;93,5;4;à 4 250;;Mécanique;Avant;10,1;5;SP-95;208;10,2;8;9;de 540 à 930;;55;5,9;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort;Indépendante, Double triangle, ressort
18675;Kia;Cerato;1 génération [restyling];2007;2009;Hatchback;1.6 AT (121 ch);Hayon;5;4350;1735;1470;2610;1495;1485;;;;;;160;1495;518;;;;Essence;1599;121;à 6 300;153;Distribué injection;Mitoyenne;4;;76,5;87;4;à 4 200;;Automatique;Avant;10,1;4;SP-95;;;7,6;;;;55;;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort;Indépendante, Double triangle, ressort
18676;Kia;Cerato;1 génération [restyling];2007;2009;Hatchback;1.6 MT (121 ch);Hayon;5;4350;1735;1470;2610;1495;1485;;;;;;160;1495;518;;;;Essence;1599;121;à 6 300;153;Distribué injection;Mitoyenne;4;;76,5;87;4;à 4 200;;Mécanique;Avant;10,1;5;SP-95;;;6,6;;;;55;;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort;Indépendante, Double triangle, ressort
18679;Kia;Cerato;1 génération [restyling];2007;2009;Hatchback;2.0 AT (143 ch);Hayon;5;4350;1735;1470;2610;1495;1485;;;;;1300;160;1495;518;;;;Essence;1975;143;à 6 000;186;Distribué injection;Mitoyenne;4;;82;93,5;4;à 4 500;;Automatique;Avant;10,1;4;SP-95;;;8,3;;;;55;;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort;Indépendante, Double triangle, ressort
18680;Kia;Cerato;1 génération [restyling];2007;2009;Hatchback;2.0 MT (143 ch);Hayon;5;4350;1735;1470;2610;1495;1485;;;;;1300;160;1495;518;;;;Essence;1975;143;à 6 000;186;Distribué injection;Mitoyenne;4;;82;93,5;4;à 4 500;;Mécanique;Avant;10,1;5;SP-95;;;7,4;;;;55;;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort;Indépendante, Double triangle, ressort
43729;Kia;Cerato;2 génération;2009;2013;Berline;1.6 AT (126 ch);Berline;5;4530;1775;1460;2650;1543;1550;;;;;1261;150;415;415;;1720;;Essence;1591;126;à 6 300;156;Injecteur;Mitoyenne;4;;77;85;4;à 4 200;;Automatique;Avant;10,32;6;SP-95;190;9,5;7;11,5;de 550 à 930;EURO IV;52;5,6;Disques ventilés;Disque;Indépendante, Rack Macpherson;Poutre de torsion
43730;Kia;Cerato;2 génération;2009;2013;Berline;1.6 MT (126 ch);Berline;5;4530;1775;1460;2650;1543;1550;;;;;1236;150;415;415;;1680;;Essence;1591;126;à 6 300;157;Injecteur;Mitoyenne;4;;77;85;4;à 4 200;;Mécanique;Avant;10,32;6;SP-95;190;8,6;6,6;10,3;de 600 à 950;EURO IV;52;5,5;Disques ventilés;Disque;Indépendante, Rack Macpherson;Poutre de torsion
43731;Kia;Cerato;2 génération;2009;2013;Berline;2.0 AT (150 ch);Berline;5;4530;1775;1460;2650;1539;1546;;;;;1293;150;415;415;;1740;;Essence;1998;150;à 6 000;194;Injecteur;Mitoyenne;4;;86;86;4;à 4 300;;Automatique;Avant;10,32;6;SP-95;190;10,8;7,9;9,8;de 480 à 840;EURO IV;52;6,2;Disques ventilés;Disque;Indépendante, Rack Macpherson;Poutre de torsion
43710;Kia;Cerato;2 génération;2009;2013;KOUP coupé;1.6 AT (126 ch);Coupé;5;4480;1765;1400;2650;1546;1550;;;;;1252;140;440;440;468;1720;;Essence;1591;126;à 6 300;157;Distribué injection;Mitoyenne;4;;77;85;4;à 4 200;;Automatique;Avant;10,5;6;SP-95;190;9,5;7;11,5;de 550 à 930;EURO IV;52;5,6;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort;Semi-réglable, ressort
43712;Kia;Cerato;2 génération;2009;2013;KOUP coupé;1.6 MT (126 ch);Coupé;5;4480;1765;1400;2650;1546;1550;;;;;1227;140;440;440;453;1680;;Essence;1591;126;à 6 300;157;Distribué injection;Mitoyenne;4;;77;85;4;à 4 200;;Mécanique;Avant;10,5;6;SP-95;190;8,6;6,6;10,3;de 600 à 950;EURO IV;52;5,5;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort;Semi-réglable, ressort
43714;Kia;Cerato;2 génération;2009;2013;KOUP coupé;2.0 AT (150 ch);Coupé;5;4480;1765;1400;2650;1542;1546;;;;;1288;140;440;440;452;1740;;Essence;1998;150;à 6 200;194,2;Injecteur;Mitoyenne;4;;86;86;4;à 4 300;;Automatique;Avant;10,5;4;SP-95;190;10,8;7,9;9,8;de 480 à 840;EURO IV;52;6,2;Disques ventilés;Disque;Indépendante, Rack Macpherson;Poutre de torsion
43716;Kia;Cerato;2 génération;2009;2013;KOUP coupé;2.0 MT (150 ch);Coupé;5;4480;1765;1400;2650;1542;1546;;;;;1274;140;440;440;446;1720;;Essence;1998;150;à 6 200;194,2;Distribué injection;Mitoyenne;4;;86;86;4;à 4 300;;Mécanique;Avant;10,5;6;SP-95;190;10,5;7,8;9,1;de 500 à 850;EURO IV;52;6,1;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort;Semi-réglable, ressort
18668;Kia;Cerato;3 génération;2012;2018;Berline;1.6 AT (130 ch);Berline;5;4560;1780;1445;2700;1553;1566;;;;;1178;150;482;482;542;1720;;Essence;1591;130;à 6 300;157;Distribué injection;Mitoyenne;4;;77;85,4;4;à 4 850;;Automatique;Avant;10,6;6;SP-95;195;9,1;6,8;11,6;de 550 à 930;EURO IV;50;5,4;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort, La barre stabilisatrice;Semi-réglable, L'élément hydraulique, Amortisseurs, ressort
212854;Kia;Cerato;3 génération;2012;2018;Berline;1.6 GDi AT (140 ch);Berline;5;4560;1780;1435;2700;1557;1570;;;;;1191;;470;470;;;;Essence;1591;140;à 6 300;167;Injection directe;Mitoyenne;4;;77;85,4;4;à 4 850;;Automatique;Avant;;6;SP-95;;7,9;7,2;;de 630 à 810;;50;6,2;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort;Semi-réglable, Poutre de torsion
212855;Kia;Cerato;3 génération;2012;2018;Berline;1.6 GDi MT (140 ch);Berline;5;4560;1780;1435;2700;1557;1570;;;;;1159;;470;470;;;;Essence;1591;140;à 6 300;167;Injection directe;Mitoyenne;4;;77;85,4;4;à 4 850;;Mécanique;Avant;;6;SP-95;;7,6;6,9;;de 660 à 830;;50;6;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort;Semi-réglable, Poutre de torsion
18669;Kia;Cerato;3 génération;2012;2018;Berline;1.6 MT (130 ch);Berline;5;4560;1780;1445;2700;1553;1566;;;;;1178;150;482;482;542;1720;;Essence;1591;130;à 6 300;157;Distribué injection;Mitoyenne;4;;77;85,4;4;à 4 850;;Mécanique;Avant;10,6;6;SP-95;200;8,7;6,5;10,1;de 570 à 960;EURO IV;50;5,2;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort, La barre stabilisatrice;Semi-réglable, L'élément hydraulique, Amortisseurs, ressort
18672;Kia;Cerato;3 génération;2012;2018;Berline;2.0 AT (150 ch);Berline;5;4560;1780;1445;2700;1553;1566;;;;;1239;150;482;482;521;1760;;Essence;1999;150;à 6 500;194;Distribué injection;Mitoyenne;4;;81;97;4;à 4 800;;Automatique;Avant;10,6;6;SP-95;205;10,2;7,2;9,3;de 490 à 930;EURO IV;50;5,4;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort, La barre stabilisatrice;Semi-réglable, L'élément hydraulique, Amortisseurs, ressort
220306;Kia;Cerato;3 génération;2012;2018;Hatchback;1.6 AT (130 ch);Hayon;5;4350;1780;1460;2700;1553;1566;;;;;;150;385;385;;1750;;Essence;1591;130;à 6 300;157;Distribué injection;Mitoyenne;4;;;;4;à 4 850;;Automatique;Avant;10,6;6;SP-95;195;9,1;6,8;11,6;de 550 à 930;EURO IV;50;5,4;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort, La barre stabilisatrice;Semi-réglable, L'élément hydraulique, Amortisseurs, ressort
220307;Kia;Cerato;3 génération;2012;2018;Hatchback;1.6 MT (130 ch);Hayon;5;4350;1780;1460;2700;1553;1566;;;;;1194;150;385;385;;1750;;Essence;1591;130;à 6 300;157;Distribué injection;Mitoyenne;4;;77;85,4;4;à 4 850;;Mécanique;Avant;10,6;6;SP-95;200;8,7;6,5;10,1;de 570 à 960;EURO IV;50;5,2;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort, La barre stabilisatrice;Semi-réglable, L'élément hydraulique, Amortisseurs, ressort
220308;Kia;Cerato;3 génération;2012;2018;Hatchback;2.0 AT (175 ch);Hayon;5;4350;1780;1460;2700;1553;1566;;;;;1309;150;385;385;;1800;;Essence;1999;175;à 6 500;209;Distribué injection;Mitoyenne;4;;81;97;4;à 4 700;;Automatique;Avant;10,6;6;SP-95;;;;;;EURO IV;50;;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort, La barre stabilisatrice;Semi-réglable, L'élément hydraulique, Amortisseurs, ressort
220309;Kia;Cerato;3 génération;2012;2018;Hatchback;2.0 MT (175 ch);Hayon;5;4350;1780;1460;2700;1553;1566;;;;;1286;150;385;385;;1780;;Essence;1999;175;à 6 500;209;Distribué injection;Mitoyenne;4;;81;97;4;à 4 700;;Mécanique;Avant;10,6;6;SP-95;;;;;;EURO IV;50;;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort, La barre stabilisatrice;Semi-réglable, L'élément hydraulique, Amortisseurs, ressort
18673;Kia;Cerato;3 génération;2012;2018;KOUP coupé;2.0 AT (150 ch);Coupé;5;4530;1780;1420;2700;1555;1568;;;;;1265;150;433;433;495;1760;;Essence;1999;150;à 6 500;194;Distribué injection;Mitoyenne;4;;81;97;4;à 4 800;;Automatique;Avant;10,6;6;SP-95;210;10,2;7,2;9;de 490 à 930;EURO IV;50;5,4;Disques ventilés;Disque;Indépendante, Rack Macpherson, La barre stabilisatrice;Semi-réglable, Poutre de torsion
18674;Kia;Cerato;3 génération;2012;2018;KOUP coupé;2.0 MT (150 ch);Coupé;5;4530;1780;1420;2700;1555;1568;;;;;1242;150;433;433;498;1740;;Essence;1999;150;à 6 500;194;Distribué injection;Mitoyenne;4;;81;97;4;à 4 800;;Mécanique;Avant;10,6;6;SP-95;210;9,3;6,9;8,5;de 540 à 910;EURO IV;50;5,5;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort, La barre stabilisatrice;Semi-réglable, Poutre de torsion
220130;Kia;Cerato;3 génération [restyling];2016;2018;Berline;1.6 AT (130 ch);Berline;5;4560;1780;1445;2700;1555;1568;;;;;1178;150;482;482;;1295;;Essence;1591;130;à 6 300;157;Distribué injection;Mitoyenne;4;;;;4;à 4 850;;Automatique;Avant;;6;SP-95;195;9,1;7;11,6;de 550 à 890;EURO IV;50;5,6;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort, La barre stabilisatrice;Semi-réglable, L'élément hydraulique, Amortisseurs, ressort
220131;Kia;Cerato;3 génération [restyling];2016;2018;Berline;1.6 MT (130 ch);Berline;5;4560;1780;1445;2700;1553;1566;;;;;1178;150;482;482;;1295;;Essence;1591;130;à 6 300;157;Distribué injection;Mitoyenne;4;;;;4;à 4 850;;Mécanique;Avant;;6;SP-95;200;9;6,7;10,1;de 560 à 930;EURO IV;50;5,4;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort, La barre stabilisatrice;Semi-réglable, L'élément hydraulique, Amortisseurs, ressort
220132;Kia;Cerato;3 génération [restyling];2016;2018;Berline;2.0 AT (150 ch);Berline;5;4560;1780;1445;2700;1557;1570;;;;;1239;150;482;482;;;;Essence;1999;150;à 6 500;194;Distribué injection;Mitoyenne;4;;;;4;à 4 800;;Automatique;Avant;;6;SP-95;205;10,5;7,4;9,3;de 480 à 890;EURO IV;50;5,6;Disques ventilés;Disque;Indépendante, Rack Macpherson, ressort, La barre stabilisatrice;Semi-réglable, L'élément hydraulique, Amortisseurs, ressort
53289;Kia;Clarus;1 génération;1996;1998;Berline;1.8 AT (114 ch);Berline;5;4696;1770;1420;2659;1500;1500;;;;;1250;;764;424;500;1750;;Essence;1793;114;à 5 750;153;Distribué injection;Mitoyenne;4;;81;87;4;à 4 500;;Automatique;Avant;11,1;4;SP-92;178;15;11;13,9;de 400 à 690;;60;8,7;Disques ventilés;Disque;La triangulation;Ressorts hélicoïdaux
53290;Kia;Clarus;1 génération;1996;1998;Berline;1.8 MT (114 ch);Berline;5;4696;1770;1420;2659;1500;1500;;;;;1220;;764;424;530;1750;;Essence;1793;114;à 5 750;153;Distribué injection;Mitoyenne;4;;81;87;4;à 4 500;;Mécanique;Avant;11,1;5;SP-92;185;12,1;9,3;10,7;de 500 à 770;;60;7,8;Disques ventilés;Disque;La triangulation;Ressorts hélicoïdaux
53291;Kia;Clarus;1 génération;1996;1998;Berline;2.0 AT (131 ch);Berline;5;4696;1770;1420;2659;1500;1500;;;;;1260;;764;424;510;1770;;Essence;1998;131;à 6 000;171;Distribué injection;Mitoyenne;4;;86;86;4;à 4 000;;Automatique;Avant;11,1;4;SP-92;180;15,4;12,1;13,8;de 390 à 590;;60;10,2;Disques ventilés;Disque;La triangulation;Ressorts hélicoïdaux
53292;Kia;Clarus;1 génération;1996;1998;Berline;2.0 MT (131 ch);Berline;5;4696;1770;1420;2659;1500;1500;;;;;1234;;764;424;536;1770;;Essence;1998;131;à 6 000;171;Distribué injection;Mitoyenne;4;;86;86;4;à 4 000;;Mécanique;Avant;11,1;5;SP-92;195;12,8;9,7;10,9;de 470 à 750;;60;8;Disques ventilés;Disque;La triangulation;Ressorts hélicoïdaux
18681;Kia;Clarus;1 génération [restyling];1998;2001;Berline;1.8 AT (114 ch);Berline;5;4731;1770;1420;2659;1500;1500;;;;;1250;;764;424;500;1750;;Essence;1793;114;à 5 750;153;Distribué injection;Mitoyenne;4;;81;87;4;à 4 500;;Automatique;Avant;10,6;4;SP-92;178;15;11;13,9;de 400 à 690;EURO II;60;8,7;Disques ventilés;Disque;La triangulation;Ressorts hélicoïdaux
18682;Kia;Clarus;1 génération [restyling];1998;2001;Berline;1.8 MT (114 ch);Berline;5;4731;1770;1420;2659;1500;1500;;;;;1220;;764;424;530;1750;;Essence;1793;114;à 5 750;153;Distribué injection;Mitoyenne;4;;81;87;4;à 4 500;;Mécanique;Avant;10,6;5;SP-92;185;12,1;9,3;10,7;de 500 à 770;EURO II;60;7,8;Disques ventilés;Disque;La triangulation;Ressorts hélicoïdaux
18683;Kia;Clarus;1 génération [restyling];1998;2001;Berline;2.0 AT (131 ch);Berline;5;4731;1770;1420;2659;1500;1500;;;;;1260;;764;424;510;1770;;Essence;1998;131;à 6 000;171;Distribué injection;Mitoyenne;4;;86;86;4;à 4 000;;Automatique;Avant;10,6;4;SP-92;180;15,4;12,1;13,8;de 390 à 590;;60;10,2;Disques ventilés;Disque;La triangulation;Ressorts hélicoïdaux
18684;Kia;Clarus;1 génération [restyling];1998;2001;Berline;2.0 MT (131 ch);Berline;5;4731;1770;1420;2659;1500;1500;;;;;1234;;764;424;536;1770;;Essence;1998;131;à 6 000;171;Distribué injection;Mitoyenne;4;;86;86;4;à 4 000;;Mécanique;Avant;10,6;5;SP-92;195;12,8;9,7;10,9;de 470 à 750;EURO II;60;8;Disques ventilés;Disque;La triangulation;Ressorts hélicoïdaux
18685;Kia;Clarus;1 génération [restyling];1998;2001;Break;1.8 AT (114 ch);Break;5;4750;1785;1495;2659;1500;1500;;;;;1300;;764;424;450;1750;;Essence;1793;114;à 5 750;153;Distribué injection;Mitoyenne;4;;81;87;4;à 4 500;;Automatique;Avant;10,6;4;SP-92;178;15;11;13,9;de 400 à 690;EURO II;60;8,7;Disques ventilés;Disque;La triangulation;Ressorts hélicoïdaux
18686;Kia;Clarus;1 génération [restyling];1998;2001;Break;1.8 MT (114 ch);Break;5;4750;1785;1495;2659;1500;1500;;;;;1274;;764;424;566;1840;;Essence;1793;114;à 5 750;153;Distribué injection;Mitoyenne;4;;81;87;4;à 4 500;;Mécanique;Avant;10,6;5;SP-92;185;12,1;9,3;10,7;de 500 à 770;EURO II;60;7,8;Disques ventilés;Disque;La triangulation;Ressorts hélicoïdaux
177310;Kia;Clarus;1 génération [restyling];1998;2001;Break;2.0 AT (131 ch);Break;5;4750;1785;1495;2659;1500;1500;;;;;1330;;764;424;450;1780;;Essence;1998;131;à 6 000;171;Distribué injection;Mitoyenne;4;;86;86;4;à 4 000;;Automatique;Avant;10,6;4;SP-92;180;15,4;12,1;13,8;de 390 à 590;;60;10,2;Disques ventilés;Disque;La triangulation;Ressorts hélicoïdaux
18687;Kia;Clarus;1 génération [restyling];1998;2001;Break;2.0 MT (131 ch);Break;5;4750;1785;1495;2659;1500;1500;;;;;1298;;764;424;566;1864;;Essence;1998;131;à 6 000;171;Distribué injection;Mitoyenne;4;;86;86;4;à 4 000;;Mécanique;Avant;10,6;5;SP-92;195;12,8;9,7;10,9;de 470 à 750;EURO II;60;8;Disques ventilés;Disque;La triangulation;Ressorts hélicoïdaux
200277;Kia;Concord;1 génération;1987;1991;Berline;2.0 MT (99 ch);Berline;5;4570;1720;1405;2520;1440;1430;;;;;1150;;;;;;;Essence;1998;99;à 5 000;167;carburateur;Mitoyenne;4;;86;86;2;à 2 500;;Mécanique;Avant;;5;SP-92;180;;;;;;60;;Disques ventilés;Disque;La triangulation;Suspension ouverte
187905;Kia;Concord;New [restyling];1991;1995;Berline;1.8 MT (95 ch);Berline;5;4570;1720;1405;2520;1440;1430;;;;;1120;;;;;;;Essence;1789;95;à 5 500;159;Distribué injection;Mitoyenne;4;;86;77;2;à 2 500;;Mécanique;Avant;;5;SP-92;;;;;;;60;;Disques ventilés;Disque;La triangulation;Suspension ouverte
187906;Kia;Concord;New [restyling];1991;1995;Berline;2.0 AT (139 ch);Berline;5;4570;1720;1405;2520;1440;1430;;;;;1200;;;;;;;Essence;1998;139;à 6 000;181;Distribué injection;Mitoyenne;4;;86;86;4;à 4 000;;Automatique;Avant;;4;SP-92;;;;;;;60;;Disques ventilés;Disque;La triangulation;Suspension ouverte
187907;Kia;Concord;New [restyling];1991;1995;Berline;2.0 MT (139 ch);Berline;5;4570;1720;1405;2520;1440;1430;;;;;1170;;;;275;1445;;Essence;1998;139;à 6 000;181;Distribué injection;Mitoyenne;4;;86;86;4;à 4 000;;Mécanique;Avant;;5;SP-92;195;;;;;;60;;Disques ventilés;Disque;La triangulation;Suspension ouverte
6329;Kia;Concord;New [restyling];1991;1995;Berline;2.0 MT (99 ch);Berline;5;4570;1720;1405;2520;1440;1430;;;;;1150;;;;;;;Essence;1998;99;à 5 000;167;carburateur;Mitoyenne;4;;86;86;2;à 2 500;;Mécanique;Avant;;5;SP-92;180;;;;;;60;;Disques ventilés;Disque;La triangulation;Suspension ouverte
212796;Kia;Credos;1 génération;1995;1998;Berline;1.8 AT (115 ch);Berline;5;4696;1770;1420;2659;1500;1500;;;;;1250;;764;424;;;;Essence;1793;115;à 5 500;153;Distribué injection;Mitoyenne;4;;81;87;4;à 4 500;;Automatique;Avant;11,1;4;SP-92;178;12,6;9;12,8;de 480 à 710;;60;8,4;Disques ventilés;Disque;Indépendante, Rack Macpherson;Indépendante, Multibras
212797;Kia;Credos;1 génération;1995;1998;Berline;1.8 MT (115 ch);Berline;5;4696;1770;1420;2659;1500;1500;;;;;1220;;764;424;;;;Essence;1793;115;à 5 500;153;Distribué injection;Mitoyenne;4;;81;87;4;à 4 500;;Mécanique;Avant;11,1;5;SP-92;191;9,8;8,8;11,1;de 610 à 910;;60;6,6;Disques ventilés;Disque;Indépendante, Rack Macpherson;Indépendante, Multibras
212798;Kia;Credos;1 génération;1995;1998;Berline;2.0 AT (137 ch);Berline;5;4696;1770;1420;2659;1500;1500;;;;;1280;;764;424;;;;Essence;1998;137;à 5 200;179;Distribué injection;Mitoyenne;4;;86;86;4;à 4 500;;Automatique;Avant;11,1;4;SP-92;186;12,6;8,8;11,4;de 480 à 730;;60;8,2;Disques ventilés;Disque;Indépendante, Rack Macpherson;Indépendante, Multibras
212799;Kia;Credos;1 génération;1995;1998;Berline;2.0 MT (137 ch);Berline;5;4696;1770;1420;2659;1500;1500;;;;;1250;;764;424;;;;Essence;1998;137;à 5 200;179;Distribué injection;Mitoyenne;4;;86;86;4;à 4 500;;Mécanique;Avant;11,1;5;SP-92;206;12;9;9,9;de 500 à 860;;60;7;Disques ventilés;Disque;Indépendante, Rack Macpherson;Indépendante, Multibras
212794;Kia;Credos;1 génération [restyling];1998;2000;Berline;2.0 AT (133 ch);Berline;5;4731;1770;1420;2659;1500;1500;;;;;1305;;764;424;;;;Essence;1998;133;à 6 000;171;Distribué injection;Mitoyenne;4;;86;86;4;à 4 000;;Automatique;Avant;11,1;4;SP-92;194;13;9,2;11,9;de 460 à 860;;60;7;Disques ventilés;Disque;Indépendante, Rack Macpherson;Indépendante, Multibras
212793;Kia;Credos;1 génération [restyling];1998;2000;Berline;2.0 AT (146 ch);Berline;5;4731;1770;1420;2659;1500;1500;;;;;1260;;764;424;;;;Essence;1998;146;à 6 000;186;Distribué injection;Mitoyenne;4;;86;86;4;à 4 000;;Automatique;Avant;11,1;4;SP-92;196;13;9,2;10,7;de 460 à 860;;60;7;Disques ventilés;Disque;Indépendante, Rack Macpherson;Indépendante, Multibras
212795;Kia;Credos;1 génération [restyling];1998;2000;Berline;2.0 MT (133 ch);Berline;5;4731;1770;1420;2659;1500;1500;;;;;1270;;764;424;;;;Essence;1998;133;à 6 000;171;Distribué injection;Mitoyenne;4;;86;86;4;à 4 000;;Mécanique;Avant;11,1;5;SP-92;201;13;9,2;10,4;de 460 à 860;;60;7;Disques ventilés;Disque;Indépendante, Rack Macpherson;Indépendante, Multibras
187908;Kia;Elan;1 génération;1996;1999;Roadster;1.8 MT (135 ch);Roadster;2;3880;1730;1270;2250;1485;1485;;;;;1080;;;;;;;Essence;1793;135;à 6 250;167;Distribué injection;Mitoyenne;4;;81;87;4;à 4 500;;Mécanique;Avant;10,7;5;SP-95;206;12,5;8,6;8,8;de 370 à 590;;46;7,8;Disques ventilés;Disque;Indépendante, La double triangulation, La barre stabilisatrice;Indépendante, Multibras, La barre stabilisatrice
6330;Kia;Elan;1 génération;1996;1999;Roadster;1.8 MT (136 ch);Roadster;2;3880;1730;1270;2250;1485;1485;;;;;1085;;;;205;1290;;Essence;1793;136;à 6 500;155;Distribué injection;Mitoyenne;4;;81;87;4;à 2 500;;Mécanique;Avant;10,7;5;SP-95;197;11,6;8,9;9,1;de 400 à 620;;46;7,4;Disques ventilés;Disque;Indépendante, La double triangulation, La barre stabilisatrice;Indépendante, Multibras, La barre stabilisatrice
